ticker,day_of_week,opt_type,date,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
AAPL,Friday,C,2025-04-04,AAPL250404C00190000,190.0,REAL,3:45 PM,1.33,3:50 PM,0.6,-0.73,1,133.0,-73.0,False,
AAPL,Friday,C,2025-04-11,AAPL250411C00200000,200.0,REAL,3:45 PM,0.09,3:50 PM,0.05,-0.04,12,108.0,-48.0,False,
AAPL,Friday,C,2025-04-18,AAPL250417C00200000,200.0,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,50,100.0,-50.0,False,Fri closed → Thu expiry
AAPL,Friday,C,2025-04-25,AAPL250425C00207500,207.5,REAL,3:45 PM,0.85,3:50 PM,1.47,0.62,2,170.0,124.0,True,
AAPL,Friday,C,2025-05-02,AAPL250502C00205000,205.0,REAL,3:45 PM,0.07,3:50 PM,0.13,0.06,15,105.0,90.0,True,
AAPL,Friday,C,2025-05-09,AAPL250509C00200000,200.0,REAL,3:45 PM,0.03,3:50 PM,0.01,-0.02,34,102.0,-68.0,False,
AAPL,Friday,C,2025-05-16,AAPL250516C00210000,210.0,REAL,3:45 PM,1.3,3:50 PM,1.5,0.2,1,130.0,20.0,True,
AAPL,Friday,C,2025-05-23,AAPL250523C00195000,195.0,REAL,3:45 PM,0.71,3:50 PM,0.5,-0.21,2,142.0,-42.0,False,
AAPL,Friday,C,2025-05-30,AAPL250530C00200000,200.0,REAL,3:45 PM,0.25,3:50 PM,0.59,0.34,4,100.0,136.0,True,
AAPL,Friday,C,2025-06-06,AAPL250606C00205000,205.0,REAL,3:45 PM,0.21,3:50 PM,0.14,-0.07,5,105.0,-35.0,False,
AAPL,Friday,C,2025-06-13,AAPL250613C00200000,200.0,REAL,3:45 PM,0.01,3:48 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2025-06-20,AAPL250620C00200000,200.0,REAL,3:45 PM,0.26,3:50 PM,0.38,0.12,4,104.0,48.0,True,
AAPL,Friday,C,2025-06-27,AAPL250627C00200000,200.0,REAL,3:45 PM,1.05,3:50 PM,0.85,-0.2,1,105.0,-20.0,False,
AAPL,Friday,C,2025-07-04,,0.0,MISS,3:45 PM,,3:50 PM,,,,,,,missing data (Fri & Thu closed)
AAPL,Friday,C,2025-07-11,AAPL250711C00212500,212.5,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,50,100.0,-50.0,False,
AAPL,Friday,C,2025-07-18,AAPL250718C00210000,210.0,REAL,3:45 PM,1.03,3:50 PM,1.19,0.16,1,103.0,16.0,True,
AAPL,Friday,C,2025-07-25,AAPL250725C00215000,215.0,REAL,3:45 PM,0.01,3:50 PM,0.02,0.01,100,100.0,100.0,True,
AAPL,Friday,C,2025-08-01,AAPL250801C00202500,202.5,REAL,3:45 PM,0.33,3:50 PM,0.4,0.07,4,132.0,28.0,True,
AAPL,Friday,C,2025-08-08,AAPL250808C00230000,230.0,REAL,3:45 PM,0.19,3:50 PM,0.28,0.09,6,114.0,54.0,True,
AAPL,Friday,C,2025-08-15,AAPL250815C00230000,230.0,REAL,3:45 PM,1.75,3:50 PM,1.39,-0.36,1,175.0,-36.0,False,
AAPL,Friday,C,2025-08-22,AAPL250822C00227500,227.5,REAL,3:45 PM,0.54,3:50 PM,0.55,0.01,2,108.0,2.0,True,
AAPL,Friday,C,2025-08-29,AAPL250829C00232500,232.5,REAL,3:45 PM,0.48,3:50 PM,0.17,-0.31,3,144.0,-93.0,False,
AAPL,Friday,C,2025-09-05,AAPL250905C00240000,240.0,REAL,3:45 PM,0.15,3:50 PM,0.16,0.01,7,105.0,7.0,True,
AAPL,Friday,C,2025-09-12,AAPL250912C00232500,232.5,REAL,3:45 PM,1.33,3:50 PM,1.37,0.04,1,133.0,4.0,True,
AAPL,Friday,C,2025-09-19,AAPL250919C00245000,245.0,REAL,3:45 PM,0.55,3:50 PM,0.85,0.3,2,110.0,60.0,True,
AAPL,Friday,C,2025-09-26,AAPL250926C00255000,255.0,REAL,3:45 PM,0.34,3:50 PM,0.29,-0.05,3,102.0,-15.0,False,
AAPL,Friday,C,2025-10-03,AAPL251003C00257500,257.5,REAL,3:45 PM,0.62,3:50 PM,0.35,-0.27,2,124.0,-54.0,False,
AAPL,Friday,C,2025-10-10,AAPL251010C00247500,247.5,REAL,3:45 PM,0.15,3:50 PM,0.06,-0.09,7,105.0,-63.0,False,
AAPL,Friday,C,2025-10-17,AAPL251017C00252500,252.5,REAL,3:45 PM,0.68,3:50 PM,0.6,-0.08,2,136.0,-16.0,False,
AAPL,Friday,C,2025-10-24,AAPL251024C00265000,265.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2025-10-31,AAPL251031C00272500,272.5,REAL,3:45 PM,0.13,3:50 PM,0.14,0.01,8,104.0,8.0,True,
AAPL,Friday,C,2025-11-07,AAPL251107C00267500,267.5,REAL,3:45 PM,0.96,3:50 PM,0.71,-0.25,2,192.0,-50.0,False,
AAPL,Friday,C,2025-11-14,AAPL251114C00275000,275.0,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,50,100.0,-50.0,False,
AAPL,Friday,C,2025-11-21,AAPL251121C00272500,272.5,REAL,3:45 PM,0.07,3:50 PM,0.02,-0.05,15,105.0,-75.0,False,
AAPL,Friday,C,2025-11-28,,0.0,MISS,3:45 PM,,3:50 PM,,,,,,,missing data (Fri & Thu closed)
AAPL,Friday,C,2025-12-05,AAPL251205C00277500,277.5,REAL,3:44 PM,1.44,3:50 PM,1.21,-0.23,1,144.0,-23.0,False,
AAPL,Friday,C,2025-12-12,AAPL251212C00277500,277.5,REAL,3:45 PM,0.4,3:50 PM,0.58,0.18,3,120.0,54.0,True,
AAPL,Friday,C,2025-12-19,AAPL251219C00270000,270.0,REAL,3:45 PM,1.14,3:50 PM,0.8,-0.34,1,114.0,-34.0,False,
AAPL,Friday,C,2025-12-26,AAPL251226C00275000,275.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2026-01-02,AAPL260102C00270000,270.0,REAL,3:45 PM,0.75,3:50 PM,0.73,-0.02,2,150.0,-4.0,False,
AAPL,Friday,C,2026-01-09,AAPL260109C00260000,260.0,REAL,3:45 PM,0.11,3:50 PM,0.01,-0.1,10,110.0,-100.0,False,
AAPL,Friday,C,2026-01-16,AAPL260116C00257500,257.5,REAL,3:45 PM,0.01,3:51 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2026-01-23,AAPL260123C00247500,247.5,REAL,3:45 PM,1.19,3:50 PM,1.12,-0.07,1,119.0,-7.0,False,
AAPL,Friday,C,2026-01-30,AAPL260130C00257500,257.5,REAL,3:45 PM,3.77,3:50 PM,3.89,0.12,1,377.0,12.0,True,
AAPL,Friday,C,2026-02-06,AAPL260206C00277500,277.5,REAL,3:45 PM,0.8,3:50 PM,0.82,0.02,2,160.0,4.0,True,
AAPL,Friday,C,2026-02-13,AAPL260213C00260000,260.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2026-02-20,AAPL260220C00265000,265.0,REAL,3:45 PM,0.02,3:50 PM,0.03,0.01,50,100.0,50.0,True,
AAPL,Friday,C,2026-02-27,AAPL260227C00265000,265.0,REAL,3:45 PM,0.34,3:50 PM,0.2,-0.14,3,102.0,-42.0,False,
AAPL,Friday,C,2026-03-06,AAPL260306C00257500,257.5,REAL,3:45 PM,0.07,3:50 PM,0.04,-0.03,15,105.0,-45.0,False,
AAPL,Friday,C,2026-03-13,AAPL260313C00252500,252.5,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2026-03-20,AAPL260320C00247500,247.5,REAL,3:45 PM,0.78,3:50 PM,0.69,-0.09,2,156.0,-18.0,False,
AAPL,Friday,C,2026-03-27,AAPL260327C00250000,250.0,REAL,3:45 PM,0.02,3:50 PM,0.02,0.0,50,100.0,0.0,False,
AAPL,Friday,C,2026-04-03,AAPL260402C00255000,255.0,REAL,3:45 PM,0.27,3:50 PM,0.62,0.35,4,108.0,140.0,True,Fri closed → Thu expiry
AAPL,Friday,C,2026-04-10,AAPL260410C00260000,260.0,REAL,3:45 PM,0.11,3:50 PM,0.23,0.12,10,110.0,120.0,True,
AAPL,Friday,C,2026-04-17,AAPL260417C00270000,270.0,REAL,3:45 PM,0.48,3:50 PM,0.25,-0.23,3,144.0,-69.0,False,
AAPL,Friday,C,2026-04-24,AAPL260424C00270000,270.0,REAL,3:45 PM,0.58,3:50 PM,0.96,0.38,2,116.0,76.0,True,
AAPL,Friday,C,2026-05-01,AAPL260501C00282500,282.5,REAL,3:45 PM,0.03,3:50 PM,0.02,-0.01,34,102.0,-34.0,False,
AAPL,Friday,C,2026-05-08,AAPL260508C00292500,292.5,REAL,3:45 PM,1.23,3:50 PM,1.4,0.17,1,123.0,17.0,True,
AAPL,Friday,C,2026-05-15,AAPL260515C00302500,302.5,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2026-05-22,AAPL260522C00310000,310.0,REAL,3:45 PM,0.02,3:50 PM,0.04,0.02,50,100.0,100.0,True,
AAPL,Friday,C,2026-05-29,AAPL260529C00310000,310.0,REAL,3:45 PM,1.81,3:50 PM,2.84,1.03,1,181.0,103.0,True,
AAPL,Friday,C,2026-06-05,AAPL260605C00312500,312.5,REAL,3:44 PM,0.01,3:51 PM,0.01,0.0,100,100.0,0.0,False,
AAPL,Friday,C,2026-06-12,AAPL260612C00290000,290.0,REAL,3:45 PM,0.7,3:50 PM,0.89,0.19,2,140.0,38.0,True,
AAPL,Friday,C,2026-06-19,AAPL260618C00297500,297.5,REAL,3:45 PM,0.52,3:50 PM,1.18,0.66,2,104.0,132.0,True,Fri closed → Thu expiry
AAPL,Friday,C,2026-06-26,AAPL260626C00280000,280.0,REAL,3:45 PM,1.99,3:50 PM,3.7,1.71,1,199.0,171.0,True,
AAPL,Friday,C,2026-07-03,AAPL260702C00307500,307.5,REAL,3:45 PM,0.66,3:50 PM,0.71,0.05,2,132.0,10.0,True,Fri closed → Thu expiry
AAPL,Friday,P,2024-07-12,AAPL240712P00232500,232.5,REAL,3:20 PM,0.8,3:40 PM,1.66,0.86,2,160.0,172.0,True,
AAPL,Friday,P,2024-07-19,AAPL240719P00225000,225.0,REAL,3:20 PM,0.36,3:40 PM,0.62,0.26,3,108.0,78.0,True,
AAPL,Friday,P,2024-07-26,AAPL240726P00217500,217.5,REAL,3:20 PM,0.07,3:40 PM,0.1,0.03,15,105.0,45.0,True,
AAPL,Friday,P,2024-08-02,AAPL240802P00225000,225.0,REAL,3:20 PM,2.7,3:40 PM,4.07,1.37,1,270.0,137.0,True,
AAPL,Friday,P,2024-08-09,AAPL240809P00215000,215.0,REAL,3:20 PM,0.12,3:40 PM,0.04,-0.08,9,108.0,-72.0,False,
AAPL,Friday,P,2024-08-16,AAPL240816P00225000,225.0,REAL,3:20 PM,0.05,3:40 PM,0.02,-0.03,20,100.0,-60.0,False,
AAPL,Friday,P,2024-08-23,AAPL240823P00225000,225.0,REAL,3:20 PM,0.01,3:40 PM,0.02,0.01,100,100.0,100.0,True,
AAPL,Friday,P,2024-08-30,AAPL240830P00227500,227.5,REAL,3:20 PM,0.04,3:40 PM,0.03,-0.01,25,100.0,-25.0,False,
AAPL,Friday,P,2024-09-06,AAPL240906P00220000,220.0,REAL,3:20 PM,0.11,3:40 PM,0.05,-0.06,10,110.0,-60.0,False,
AAPL,Friday,P,2024-09-13,AAPL240913P00222500,222.5,REAL,3:20 PM,0.2,3:40 PM,0.15,-0.05,5,100.0,-25.0,False,
AAPL,Friday,P,2024-09-20,AAPL240920P00230000,230.0,REAL,3:20 PM,0.33,3:40 PM,0.22,-0.11,4,132.0,-44.0,False,
AAPL,Friday,P,2024-09-27,AAPL240927P00227500,227.5,REAL,3:20 PM,0.06,3:40 PM,0.14,0.08,17,102.0,136.0,True,
AAPL,Friday,P,2024-10-04,AAPL241004P00225000,225.0,REAL,3:20 PM,0.06,3:40 PM,0.03,-0.03,17,102.0,-51.0,False,
AAPL,Friday,P,2024-10-11,AAPL241011P00227500,227.5,REAL,3:20 PM,0.03,3:40 PM,0.03,0.0,34,102.0,0.0,False,
AAPL,Friday,P,2024-10-18,AAPL241018P00235000,235.0,REAL,3:20 PM,0.15,3:40 PM,0.16,0.01,7,105.0,7.0,True,
AAPL,Friday,P,2024-10-25,AAPL241025P00232500,232.5,REAL,3:20 PM,0.97,3:40 PM,1.2,0.23,2,194.0,46.0,True,
AAPL,Friday,P,2024-11-01,AAPL241101P00222500,222.5,REAL,3:20 PM,0.13,3:40 PM,0.14,0.01,8,104.0,8.0,True,
AAPL,Friday,P,2024-11-08,AAPL241108P00227500,227.5,REAL,3:20 PM,0.27,3:40 PM,0.4,0.13,4,108.0,52.0,True,
AAPL,Friday,P,2024-11-15,AAPL241115P00225000,225.0,REAL,3:20 PM,0.21,3:40 PM,0.19,-0.02,5,105.0,-10.0,False,
AAPL,Friday,P,2024-11-22,AAPL241122P00230000,230.0,REAL,3:20 PM,0.77,3:40 PM,0.56,-0.21,2,154.0,-42.0,False,
AAPL,Friday,P,2024-11-29,,0.0,MISS,3:20 PM,,3:40 PM,,,,,,,missing data (Fri & Thu closed)
AAPL,Friday,P,2024-12-06,AAPL241206P00242500,242.5,REAL,3:20 PM,0.05,3:40 PM,0.04,-0.01,20,100.0,-20.0,False,
AAPL,Friday,P,2024-12-13,AAPL241213P00247500,247.5,REAL,3:20 PM,0.06,3:40 PM,0.01,-0.05,17,102.0,-85.0,False,
AAPL,Friday,P,2024-12-20,AAPL241220P00252500,252.5,REAL,3:20 PM,0.06,3:40 PM,0.07,0.01,17,102.0,17.0,True,
AAPL,Friday,P,2024-12-27,AAPL241227P00255000,255.0,REAL,3:20 PM,0.21,3:40 PM,0.06,-0.15,5,105.0,-75.0,False,
AAPL,Friday,P,2025-01-03,AAPL250103P00242500,242.5,REAL,3:20 PM,0.09,3:40 PM,0.1,0.01,12,108.0,12.0,True,
AAPL,Friday,P,2025-01-10,AAPL250110P00237500,237.5,REAL,3:20 PM,1.58,3:40 PM,1.29,-0.29,1,158.0,-29.0,False,
AAPL,Friday,P,2025-01-17,AAPL250117P00230000,230.0,REAL,3:20 PM,0.67,3:40 PM,0.63,-0.04,2,134.0,-8.0,False,
AAPL,Friday,P,2025-01-24,AAPL250124P00222500,222.5,REAL,3:20 PM,0.12,3:40 PM,0.3,0.18,9,108.0,162.0,True,
AAPL,Friday,P,2025-01-31,AAPL250131P00235000,235.0,REAL,3:20 PM,1.2,3:40 PM,1.26,0.06,1,120.0,6.0,True,
AAPL,Friday,P,2025-02-07,AAPL250207P00227500,227.5,REAL,3:20 PM,0.1,3:40 PM,0.17,0.07,10,100.0,70.0,True,
AAPL,Friday,P,2025-02-14,AAPL250214P00245000,245.0,REAL,3:20 PM,0.9,3:40 PM,0.69,-0.21,2,180.0,-42.0,False,
AAPL,Friday,P,2025-02-21,AAPL250221P00247500,247.5,REAL,3:20 PM,1.69,3:40 PM,1.63,-0.06,1,169.0,-6.0,False,
AAPL,Friday,P,2025-02-28,AAPL250228P00235000,235.0,REAL,3:20 PM,0.02,3:40 PM,0.01,-0.01,50,100.0,-50.0,False,
AAPL,Friday,P,2025-03-07,AAPL250307P00240000,240.0,REAL,3:20 PM,1.56,3:40 PM,1.84,0.28,1,156.0,28.0,True,
AAPL,Friday,P,2025-03-14,AAPL250314P00212500,212.5,REAL,3:20 PM,0.22,3:40 PM,0.18,-0.04,5,110.0,-20.0,False,
AAPL,Friday,P,2025-03-21,AAPL250321P00215000,215.0,REAL,3:20 PM,0.33,3:40 PM,0.25,-0.08,4,132.0,-32.0,False,
AAPL,Friday,P,2025-03-28,AAPL250328P00217500,217.5,REAL,3:20 PM,0.07,3:40 PM,0.09,0.02,15,105.0,30.0,True,
AAPL,Friday,P,2025-04-04,AAPL250404P00190000,190.0,REAL,3:20 PM,1.05,3:40 PM,0.39,-0.66,1,105.0,-66.0,False,
AAPL,Friday,P,2025-04-11,AAPL250411P00200000,200.0,REAL,3:20 PM,1.64,3:40 PM,2.0,0.36,1,164.0,36.0,True,
AAPL,Friday,P,2025-04-18,AAPL250417P00200000,200.0,REAL,3:19 PM,2.62,3:40 PM,2.76,0.14,1,262.0,14.0,True,Fri closed → Thu expiry
AAPL,Friday,P,2025-04-25,AAPL250425P00207500,207.5,REAL,3:20 PM,0.1,3:40 PM,0.11,0.01,10,100.0,10.0,True,
AAPL,Friday,P,2025-05-02,AAPL250502P00205000,205.0,REAL,3:20 PM,0.78,3:40 PM,0.5,-0.28,2,156.0,-56.0,False,
AAPL,Friday,P,2025-05-09,AAPL250509P00200000,200.0,REAL,3:20 PM,1.04,3:40 PM,1.38,0.34,1,104.0,34.0,True,
AAPL,Friday,P,2025-05-16,AAPL250516P00210000,210.0,REAL,3:20 PM,0.02,3:40 PM,0.02,0.0,50,100.0,0.0,False,
AAPL,Friday,P,2025-05-23,AAPL250523P00195000,195.0,REAL,3:20 PM,0.33,3:40 PM,0.09,-0.24,4,132.0,-96.0,False,
AAPL,Friday,P,2025-05-30,AAPL250530P00200000,200.0,REAL,3:20 PM,0.45,3:40 PM,0.38,-0.07,3,135.0,-21.0,False,
AAPL,Friday,P,2025-06-06,AAPL250606P00205000,205.0,REAL,3:20 PM,0.41,3:40 PM,0.16,-0.25,3,123.0,-75.0,False,
AAPL,Friday,P,2025-06-13,AAPL250613P00200000,200.0,REAL,3:20 PM,3.5,3:40 PM,3.65,0.15,1,350.0,15.0,True,
AAPL,Friday,P,2025-06-20,AAPL250620P00200000,200.0,REAL,3:20 PM,0.32,3:40 PM,0.22,-0.1,4,128.0,-40.0,False,
AAPL,Friday,P,2025-06-27,AAPL250627P00200000,200.0,REAL,3:20 PM,0.04,3:40 PM,0.02,-0.02,25,100.0,-50.0,False,
AAPL,Friday,P,2025-07-04,,0.0,MISS,3:20 PM,,3:40 PM,,,,,,,missing data (Fri & Thu closed)
AAPL,Friday,P,2025-07-11,AAPL250711P00212500,212.5,REAL,3:20 PM,1.37,3:40 PM,1.33,-0.04,1,137.0,-4.0,False,
AAPL,Friday,P,2025-07-18,AAPL250718P00210000,210.0,REAL,3:20 PM,0.02,3:40 PM,0.03,0.01,50,100.0,50.0,True,
AAPL,Friday,P,2025-07-25,AAPL250725P00215000,215.0,REAL,3:20 PM,1.28,3:40 PM,1.39,0.11,1,128.0,11.0,True,
AAPL,Friday,P,2025-08-01,AAPL250801P00202500,202.5,REAL,3:20 PM,0.14,3:40 PM,0.2,0.06,8,112.0,48.0,True,
AAPL,Friday,P,2025-08-08,AAPL250808P00230000,230.0,REAL,3:20 PM,0.86,3:40 PM,1.37,0.51,2,172.0,102.0,True,
AAPL,Friday,P,2025-08-15,AAPL250815P00230000,230.0,REAL,3:20 PM,0.08,3:40 PM,0.05,-0.03,13,104.0,-39.0,False,
AAPL,Friday,P,2025-08-22,AAPL250822P00227500,227.5,REAL,3:20 PM,0.17,3:40 PM,0.24,0.07,6,102.0,42.0,True,
AAPL,Friday,P,2025-08-29,AAPL250829P00232500,232.5,REAL,3:20 PM,0.43,3:40 PM,0.36,-0.07,3,129.0,-21.0,False,
AAPL,Friday,P,2025-09-05,AAPL250905P00240000,240.0,REAL,3:20 PM,0.39,3:40 PM,0.27,-0.12,3,117.0,-36.0,False,
AAPL,Friday,P,2025-09-12,AAPL250912P00232500,232.5,REAL,3:20 PM,0.02,3:40 PM,0.01,-0.01,50,100.0,-50.0,False,
AAPL,Friday,P,2025-09-19,AAPL250919P00245000,245.0,REAL,3:20 PM,0.24,3:40 PM,0.59,0.35,5,120.0,175.0,True,
AAPL,Friday,P,2025-09-26,AAPL250926P00255000,255.0,REAL,3:20 PM,0.15,3:40 PM,0.24,0.09,7,105.0,63.0,True,
AAPL,Friday,P,2025-10-03,AAPL251003P00257500,257.5,REAL,3:20 PM,0.11,3:40 PM,0.06,-0.05,10,110.0,-50.0,False,
AAPL,Friday,P,2025-10-10,AAPL251010P00247500,247.5,REAL,3:20 PM,1.43,3:40 PM,1.21,-0.22,1,143.0,-22.0,False,
AAPL,Friday,P,2025-10-17,AAPL251017P00252500,252.5,REAL,3:20 PM,0.34,3:40 PM,0.14,-0.2,3,102.0,-60.0,False,
AAPL,Friday,P,2025-10-24,AAPL251024P00265000,265.0,REAL,3:20 PM,1.72,3:40 PM,1.65,-0.07,1,172.0,-7.0,False,
AAPL,Friday,P,2025-10-31,AAPL251031P00272500,272.5,REAL,3:20 PM,1.04,3:40 PM,0.44,-0.6,1,104.0,-60.0,False,
AAPL,Friday,P,2025-11-07,AAPL251107P00267500,267.5,REAL,3:20 PM,0.57,3:40 PM,0.07,-0.5,2,114.0,-100.0,False,
AAPL,Friday,P,2025-11-14,AAPL251114P00275000,275.0,REAL,3:20 PM,1.55,3:40 PM,2.15,0.6,1,155.0,60.0,True,
AAPL,Friday,P,2025-11-21,AAPL251121P00272500,272.5,REAL,3:20 PM,0.62,3:40 PM,0.93,0.31,2,124.0,62.0,True,
AAPL,Friday,P,2025-11-28,,0.0,MISS,3:20 PM,,3:40 PM,,,,,,,missing data (Fri & Thu closed)
AAPL,Friday,P,2025-12-05,AAPL251205P00277500,277.5,REAL,3:20 PM,0.03,3:40 PM,0.01,-0.02,34,102.0,-68.0,False,
AAPL,Friday,P,2025-12-12,AAPL251212P00277500,277.5,REAL,3:20 PM,0.08,3:40 PM,0.27,0.19,13,104.0,247.0,True,
AAPL,Friday,P,2025-12-19,AAPL251219P00270000,270.0,REAL,3:20 PM,0.24,3:40 PM,0.41,0.17,5,120.0,85.0,True,
