seq,date,entry_frame,exit_frame,ticker,opt_type,buy_price,sell_price,contracts,pnl_dollars,cumulative_pnl,source,result
31,2026-03-03,9:43–9:54 AM,10:57–11:05 AM,META,P,8.0045,9.3543,1,134.97,1315.29,REAL,WIN
32,2026-03-03,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,5.1572,2.3936,1,-276.37,1038.92,REAL,LOSS
33,2026-03-03,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.97,2.452,1,-51.8,987.12,REAL,LOSS
34,2026-03-03,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.612,0.9886,1,-62.34,924.78,REAL,LOSS
35,2026-03-03,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,1.588,1.5933,1,0.53,925.31,REAL,WIN
36,2026-03-03,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,1.766,1.792,1,2.6,927.91,REAL,WIN
37,2026-03-03,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,4.685,9.55,1,486.5,1414.41,REAL,WIN
38,2026-03-03,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,4.1033,6.268,1,216.47,1630.88,REAL,WIN
39,2026-03-03,12:08–12:13 PM,2:14–2:19 PM,META,C,7.175,9.37,1,219.5,1850.38,REAL,WIN
40,2026-03-03,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,2.42,2.704,1,28.4,1878.78,REAL,WIN
41,2026-03-03,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,1.224,1.542,1,31.8,1910.58,REAL,WIN
42,2026-03-10,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,3.0833,4.7725,1,168.92,2079.5,REAL,WIN
43,2026-03-10,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,1.508,1.65,1,14.2,2093.7,REAL,WIN
44,2026-03-10,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,5.3662,5.37,1,0.38,2094.08,REAL,WIN
45,2026-03-10,9:43–9:54 AM,10:57–11:05 AM,META,P,6.1018,3.9713,1,-213.06,1881.02,REAL,LOSS
46,2026-03-10,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,5.0193,3.6623,1,-135.7,1745.32,REAL,LOSS
47,2026-03-10,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.955,1.444,1,-151.1,1594.22,REAL,LOSS
48,2026-03-10,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.926,2.2143,1,28.83,1623.05,REAL,WIN
49,2026-03-10,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,3.1,3.23,1,13.0,1636.05,REAL,WIN
50,2026-03-10,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,2.326,1.73,1,-59.6,1576.45,REAL,LOSS
51,2026-03-10,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,2.352,2.128,1,-22.4,1554.05,REAL,LOSS
52,2026-03-10,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,1.488,1.67,1,18.2,1572.25,REAL,WIN
53,2026-03-10,12:08–12:13 PM,2:14–2:19 PM,META,C,6.09,6.2167,1,12.67,1584.92,REAL,WIN
54,2026-03-10,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,3.244,2.134,1,-111.0,1473.92,REAL,LOSS
55,2026-03-10,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.6367,0.73,2,18.67,1492.59,REAL,WIN
56,2026-03-17,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.1383,2.435,1,29.67,1522.26,REAL,WIN
57,2026-03-17,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.56,3.194,1,-36.6,1485.66,REAL,LOSS
58,2026-03-17,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,3.7615,2.846,1,-91.55,1394.11,REAL,LOSS
59,2026-03-17,9:43–9:54 AM,10:57–11:05 AM,META,P,3.8545,5.535,1,168.05,1562.16,REAL,WIN
60,2026-03-17,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,2.3844,3.0413,1,65.7,1627.86,REAL,WIN
61,2026-03-17,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,3.0233,3.4125,1,38.92,1666.78,REAL,WIN
62,2026-03-17,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.262,1.1129,1,-14.91,1651.87,REAL,LOSS
63,2026-03-17,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,1.2825,0.945,1,-33.75,1618.12,REAL,LOSS
64,2026-03-17,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,0.896,0.682,2,-42.8,1575.32,REAL,LOSS
65,2026-03-17,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,2.08,2.13,1,5.0,1580.32,REAL,WIN
66,2026-03-17,12:08–12:13 PM,2:14–2:19 PM,META,C,3.018,2.224,1,-79.4,1500.92,REAL,LOSS
67,2026-03-17,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,5.024,5.58,1,55.6,1556.52,REAL,WIN
68,2026-03-17,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.818,0.82,2,0.4,1556.92,REAL,WIN
69,2026-03-24,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.5517,3.4433,1,89.17,1646.09,REAL,WIN
70,2026-03-24,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.866,1.6427,1,-222.33,1423.76,REAL,LOSS
71,2026-03-24,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,3.3108,2.514,1,-79.68,1344.08,REAL,LOSS
72,2026-03-24,9:43–9:54 AM,10:57–11:05 AM,META,P,7.52,7.525,1,0.5,1344.58,REAL,WIN
73,2026-03-24,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,6.5482,7.1392,1,59.1,1403.68,REAL,WIN
74,2026-03-24,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,1.985,1.218,1,-76.7,1326.98,REAL,LOSS
75,2026-03-24,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.6,1.6483,1,4.83,1331.81,REAL,WIN
76,2026-03-24,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,3.3267,5.35,1,202.33,1534.14,REAL,WIN
77,2026-03-24,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,1.904,1.96,1,5.6,1539.74,REAL,WIN
78,2026-03-24,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,0.686,0.436,2,-50.0,1489.74,REAL,LOSS
79,2026-03-24,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,2.014,1.5925,1,-42.15,1447.59,REAL,LOSS
80,2026-03-24,12:08–12:13 PM,2:14–2:19 PM,META,C,2.515,2.5675,1,5.25,1452.84,REAL,WIN
81,2026-03-24,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,5.926,6.226,1,30.0,1482.84,REAL,WIN
82,2026-03-24,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.77,1.042,2,54.4,1537.24,REAL,WIN
83,2026-03-31,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,1.2917,3.75,1,245.83,1783.07,REAL,WIN
84,2026-03-31,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.026,5.2167,1,219.07,2002.14,REAL,WIN
85,2026-03-31,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,3.585,2.724,1,-86.1,1916.04,REAL,LOSS
86,2026-03-31,9:43–9:54 AM,10:57–11:05 AM,META,P,3.7264,4.62,1,89.36,2005.4,REAL,WIN
87,2026-03-31,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,2.4751,3.1839,1,70.88,2076.28,REAL,WIN
88,2026-03-31,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,0.48,0.32,3,-48.0,2028.28,REAL,LOSS
89,2026-03-31,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.68,1.5057,1,-17.43,2010.85,REAL,LOSS
90,2026-03-31,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,0.8425,0.4083,2,-86.83,1924.02,REAL,LOSS
91,2026-03-31,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,5.655,8.5033,1,284.83,2208.85,REAL,WIN
92,2026-03-31,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,2.514,4.9,1,238.6,2447.45,REAL,WIN
93,2026-03-31,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,2.388,4.5133,1,212.53,2659.98,REAL,WIN
94,2026-03-31,12:08–12:13 PM,2:14–2:19 PM,META,C,12.2133,21.4,1,918.67,3578.65,REAL,WIN
95,2026-03-31,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,5.352,10.54,1,518.8,4097.45,REAL,WIN
96,2026-03-31,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.582,0.414,2,-33.6,4063.85,REAL,LOSS
97,2026-04-07,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,1.4833,0.7556,1,-72.78,3991.07,REAL,LOSS
98,2026-04-07,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,2.218,1.8178,1,-40.02,3951.05,REAL,LOSS
99,2026-04-07,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,6.3027,7.568,1,126.53,4077.58,REAL,WIN
100,2026-04-07,9:43–9:54 AM,10:57–11:05 AM,META,P,6.1073,8.0525,1,194.52,4272.1,REAL,WIN
101,2026-04-07,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,3.3237,3.4354,1,11.17,4283.27,REAL,WIN
102,2026-04-07,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,1.3383,1.782,1,44.37,4327.64,REAL,WIN
103,2026-04-07,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.966,1.974,1,0.8,4328.44,REAL,WIN
104,2026-04-07,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,3.85,2.6067,1,-124.33,4204.11,REAL,LOSS
105,2026-04-07,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,1.746,2.2125,1,46.65,4250.76,REAL,WIN
106,2026-04-07,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,2.06,3.5,1,144.0,4394.76,REAL,WIN
107,2026-04-07,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,2.302,3.778,1,147.6,4542.36,REAL,WIN
108,2026-04-07,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,2.352,2.61,1,25.8,4568.16,REAL,WIN
109,2026-04-14,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,1.705,0.9767,1,-72.83,4495.33,REAL,LOSS
110,2026-04-14,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,2.246,6.2156,1,396.96,4892.29,REAL,WIN
111,2026-04-14,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,3.2873,0.936,1,-235.13,4657.16,REAL,LOSS
112,2026-04-14,9:43–9:54 AM,10:57–11:05 AM,META,P,2.08,0.6687,1,-141.13,4516.03,REAL,LOSS
113,2026-04-14,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,1.5438,0.9978,1,-54.6,4461.43,REAL,LOSS
114,2026-04-14,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,0.6133,0.458,2,-31.07,4430.36,REAL,LOSS
115,2026-04-14,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,0.606,0.3971,2,-41.77,4388.59,REAL,LOSS
116,2026-04-14,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,3.914,5.035,1,112.1,4500.69,REAL,WIN
117,2026-04-14,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,5.818,7.44,1,162.2,4662.89,REAL,WIN
118,2026-04-14,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,5.77,9.6333,1,386.33,5049.22,REAL,WIN
119,2026-04-14,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,10.158,8.1425,1,-201.55,4847.67,REAL,LOSS
120,2026-04-14,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,2.474,2.345,1,-12.9,4834.77,REAL,LOSS
121,2026-04-21,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,1.3983,0.2257,1,-117.26,4717.51,REAL,LOSS
122,2026-04-21,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,2.436,2.7022,1,26.62,4744.13,REAL,WIN
123,2026-04-21,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,5.3387,6.2366,1,89.79,4833.92,SIM,WIN
124,2026-04-21,9:43–9:54 AM,10:57–11:05 AM,META,P,4.4355,5.0075,1,57.2,4891.12,REAL,WIN
125,2026-04-21,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,1.5978,1.4143,1,-18.35,4872.77,REAL,LOSS
126,2026-04-21,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.255,2.476,1,22.1,4894.87,REAL,WIN
127,2026-04-21,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.992,2.2657,1,27.37,4922.24,REAL,WIN
128,2026-04-21,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,2.81,4.6667,1,185.67,5107.91,REAL,WIN
129,2026-04-21,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,1.064,0.646,1,-41.8,5066.11,REAL,LOSS
130,2026-04-21,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,6.3625,7.5,1,113.75,5179.86,REAL,WIN
131,2026-04-21,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,1.972,2.084,1,11.2,5191.06,REAL,WIN
132,2026-04-21,12:08–12:13 PM,2:14–2:19 PM,META,C,6.026,6.688,1,66.2,5257.26,REAL,WIN
133,2026-04-21,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,2.7853,1.2831,1,-150.22,5107.04,SIM,LOSS
134,2026-04-21,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,5.52,6.235,1,71.5,5178.54,REAL,WIN
135,2026-04-28,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.155,2.1711,1,1.61,5180.15,REAL,WIN
136,2026-04-28,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,4.2382,6.072,1,183.38,5363.53,SIM,WIN
137,2026-04-28,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,3.8442,4.208,1,36.38,5399.91,REAL,WIN
138,2026-04-28,9:43–9:54 AM,10:57–11:05 AM,META,P,5.2825,8.5643,1,328.18,5728.09,SIM,WIN
139,2026-04-28,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,3.4208,2.8587,1,-56.22,5671.87,SIM,LOSS
140,2026-04-28,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.2783,3.284,1,100.57,5772.44,REAL,WIN
141,2026-04-28,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.9911,2.0248,1,3.36,5775.8,SIM,WIN
142,2026-04-28,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,2.3917,2.9564,1,56.47,5832.27,SIM,WIN
143,2026-04-28,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,2.252,4.282,1,203.0,6035.27,REAL,WIN
144,2026-04-28,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,6.9075,7.648,1,74.05,6109.32,SIM,WIN
145,2026-04-28,12:08–12:13 PM,2:14–2:19 PM,META,C,6.0492,7.386,1,133.68,6243.0,SIM,WIN
146,2026-04-28,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,4.334,4.628,1,29.4,6272.4,REAL,WIN
147,2026-04-28,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,1.702,1.4775,1,-22.45,6249.95,REAL,LOSS
148,2026-05-05,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.3667,6.86,1,449.33,6699.28,REAL,WIN
149,2026-05-05,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.042,3.872,1,83.0,6782.28,REAL,WIN
150,2026-05-05,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,4.3873,9.1,1,471.27,7253.55,REAL,WIN
151,2026-05-05,9:43–9:54 AM,10:57–11:05 AM,META,P,10.2357,14.3,1,406.43,7659.98,REAL,WIN
152,2026-05-05,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,5.6927,6.288,1,59.53,7719.51,REAL,WIN
153,2026-05-05,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.1383,3.86,1,172.17,7891.68,REAL,WIN
154,2026-05-05,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,2.6025,3.1475,1,54.5,7946.18,REAL,WIN
155,2026-05-05,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,2.66,3.594,1,93.4,8039.58,REAL,WIN
156,2026-05-05,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,0.908,1.0,2,18.4,8057.98,REAL,WIN
157,2026-05-05,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,1.7025,1.33,1,-37.25,8020.73,REAL,LOSS
158,2026-05-05,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,1.496,0.6625,1,-83.35,7937.38,REAL,LOSS
159,2026-05-05,12:08–12:13 PM,2:14–2:19 PM,META,C,0.834,1.065,2,46.2,7983.58,REAL,WIN
160,2026-05-05,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,2.102,1.88,1,-22.2,7961.38,REAL,LOSS
161,2026-05-05,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.2325,0.156,5,-38.25,7923.13,REAL,LOSS
162,2026-05-12,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.4483,2.7771,1,32.88,7956.01,REAL,WIN
163,2026-05-12,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,2.832,2.9633,1,13.13,7969.14,REAL,WIN
164,2026-05-12,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,6.7231,16.96,1,1023.69,8992.83,REAL,WIN
165,2026-05-12,9:43–9:54 AM,10:57–11:05 AM,META,P,3.9455,2.6775,1,-126.8,8866.03,REAL,LOSS
166,2026-05-12,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,5.371,5.1871,1,-18.39,8847.64,REAL,LOSS
167,2026-05-12,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,0.9783,3.752,2,554.73,9402.37,REAL,WIN
168,2026-05-12,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,3.4775,3.8,1,32.25,9434.62,REAL,WIN
169,2026-05-12,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,3.11,5.2967,1,218.67,9653.29,REAL,WIN
170,2026-05-12,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,1.672,3.45,1,177.8,9831.09,REAL,WIN
171,2026-05-12,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,1.328,1.412,1,8.4,9839.49,REAL,WIN
172,2026-05-12,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,0.896,0.624,2,-54.4,9785.09,REAL,LOSS
173,2026-05-12,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,1.736,3.512,1,177.6,9962.69,REAL,WIN
174,2026-05-12,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.998,0.872,2,-25.2,9937.49,REAL,LOSS
175,2026-05-19,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,3.0417,1.9657,1,-107.6,9829.89,REAL,LOSS
176,2026-05-19,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,5.212,2.4064,1,-280.56,9549.33,REAL,LOSS
177,2026-05-19,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,5.9023,7.92,1,201.77,9751.1,REAL,WIN
178,2026-05-19,9:43–9:54 AM,10:57–11:05 AM,META,P,6.3444,6.7,1,35.56,9786.66,REAL,WIN
179,2026-05-19,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,5.9336,15.13,1,919.64,10706.3,REAL,WIN
180,2026-05-19,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,1.8448,2.1408,1,29.59,10735.89,SIM,WIN
181,2026-05-19,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,5.6333,6.64,1,100.67,10836.56,REAL,WIN
182,2026-05-19,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,2.9803,3.8733,1,89.3,10925.86,SIM,WIN
183,2026-05-19,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,0.712,0.525,2,-37.4,10888.46,REAL,LOSS
184,2026-05-19,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,0.314,0.644,4,132.0,11020.46,REAL,WIN
185,2026-05-19,12:08–12:13 PM,2:14–2:19 PM,META,C,2.296,1.776,1,-52.0,10968.46,REAL,LOSS
186,2026-05-19,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,2.522,4.665,1,214.3,11182.76,REAL,WIN
187,2026-05-19,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,1.378,1.28,1,-9.8,11172.96,REAL,LOSS
188,2026-05-26,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.3017,1.3556,1,-94.61,11078.35,REAL,LOSS
189,2026-05-26,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.2333,3.4233,1,19.0,11097.35,REAL,WIN
190,2026-05-26,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,7.02,5.67,1,-135.0,10962.35,REAL,LOSS
191,2026-05-26,9:43–9:54 AM,10:57–11:05 AM,META,P,6.584,6.852,1,26.8,10989.15,REAL,WIN
192,2026-05-26,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,1.8114,2.555,1,74.36,11063.51,REAL,WIN
193,2026-05-26,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,1.9167,2.32,1,40.33,11103.84,REAL,WIN
194,2026-05-26,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,3.53,4.5,1,97.0,11200.84,REAL,WIN
195,2026-05-26,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,1.724,1.166,1,-55.8,11145.04,REAL,LOSS
196,2026-05-26,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,2.934,1.864,1,-107.0,11038.04,REAL,LOSS
197,2026-05-26,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,0.612,0.3267,2,-57.07,10980.97,REAL,LOSS
198,2026-05-26,12:08–12:13 PM,2:14–2:19 PM,META,C,4.086,4.09,1,0.4,10981.37,REAL,WIN
199,2026-05-26,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,3.934,4.598,1,66.4,11047.77,REAL,WIN
200,2026-05-26,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,1.5967,2.14,1,54.33,11102.1,REAL,WIN
201,2026-06-02,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,3.22,6.682,1,346.2,11448.3,REAL,WIN
202,2026-06-02,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.25,8.21,1,496.0,11944.3,REAL,WIN
203,2026-06-02,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,6.7731,2.88,1,-389.31,11554.99,REAL,LOSS
204,2026-06-02,9:43–9:54 AM,10:57–11:05 AM,META,P,5.6773,2.8075,1,-286.98,11268.01,REAL,LOSS
205,2026-06-02,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,8.7053,9.7421,1,103.68,11371.69,REAL,WIN
206,2026-06-02,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,0.9933,2.208,2,242.93,11614.62,REAL,WIN
207,2026-06-02,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.658,0.9657,1,-69.23,11545.39,REAL,LOSS
208,2026-06-02,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,0.8,0.91,2,22.0,11567.39,REAL,WIN
209,2026-06-02,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,3.226,1.14,1,-208.6,11358.79,REAL,LOSS
