date,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,contracts,cost_dollars,pnl_dollars,profitable,note
2025-03-28,TSLA250328C00275000,275.0,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-04-04,TSLA250404C00260000,260.0,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-04-11,TSLA250411C00252500,252.5,REAL,3:45 PM,0.13,3:55 PM,0.23,8,104.0,80.0,True,
2025-04-18,TSLA250417C00242500,242.5,REAL,3:45 PM,0.06,3:55 PM,0.04,17,102.0,-34.0,False,Fri closed → Thu expiry
2025-04-25,TSLA250425C00262500,262.5,REAL,3:45 PM,21.0,3:55 PM,22.39,1,2100.0,139.0,True,
2025-05-02,TSLA250502C00287500,287.5,REAL,3:45 PM,0.34,3:55 PM,0.15,3,102.0,-57.0,False,
2025-05-09,TSLA250509C00292500,292.5,REAL,3:45 PM,6.17,3:55 PM,5.85,1,617.0,-32.0,False,
2025-05-16,TSLA250516C00347500,347.5,REAL,3:45 PM,1.11,3:55 PM,1.92,1,111.0,81.0,True,
2025-05-23,TSLA250523C00335000,335.0,REAL,3:45 PM,5.58,3:55 PM,4.35,1,558.0,-123.0,False,
2025-05-30,TSLA250530C00357500,357.5,REAL,3:45 PM,0.02,3:55 PM,0.01,50,100.0,-50.0,False,
2025-06-06,TSLA250606C00295000,295.0,REAL,3:45 PM,1.55,3:55 PM,1.09,1,155.0,-46.0,False,
2025-06-13,TSLA250613C00315000,315.0,REAL,3:45 PM,10.8,3:55 PM,10.29,1,1080.0,-51.0,False,
2025-06-20,TSLA250620C00327500,327.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-06-27,TSLA250627C00322500,322.5,REAL,3:45 PM,0.61,3:55 PM,0.95,2,122.0,68.0,True,
2025-07-04,TSLA250703C00317500,317.5,REAL,3:45 PM,,3:55 PM,,,,,,no usable price in entry/exit window
2025-07-11,TSLA250711C00307500,307.5,REAL,3:45 PM,6.0,3:55 PM,6.18,1,600.0,18.0,True,
2025-07-18,TSLA250718C00322500,322.5,REAL,3:45 PM,6.0,3:55 PM,6.85,1,600.0,85.0,True,
2025-07-25,TSLA250725C00310000,310.0,REAL,3:45 PM,5.45,3:55 PM,5.83,1,545.0,38.0,True,
2025-08-01,TSLA250801C00307500,307.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-08-08,TSLA250808C00322500,322.5,REAL,3:45 PM,5.5,3:55 PM,6.63,1,550.0,113.0,True,
2025-08-15,TSLA250815C00337500,337.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-08-22,TSLA250822C00317500,317.5,REAL,3:45 PM,20.42,3:55 PM,21.86,1,2042.0,144.0,True,
2025-08-29,TSLA250829C00347500,347.5,REAL,3:45 PM,,3:55 PM,,,,,,no usable price in entry/exit window
2025-09-05,TSLA250905C00350000,350.0,REAL,3:45 PM,0.13,3:55 PM,1.15,8,104.0,816.0,True,
2025-09-12,TSLA250912C00372500,372.5,REAL,3:45 PM,20.82,3:55 PM,23.2,1,2082.0,238.0,True,
2025-09-19,TSLA250919C00425000,425.0,REAL,3:45 PM,0.99,3:55 PM,1.42,2,198.0,86.0,True,
2025-09-26,TSLA250926C00427500,427.5,REAL,3:45 PM,11.15,3:55 PM,12.25,1,1115.0,110.0,True,
2025-10-03,TSLA251003C00442500,442.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-10-10,TSLA251010C00437500,437.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-10-17,TSLA251017C00425000,425.0,REAL,3:45 PM,13.45,3:55 PM,14.1,1,1345.0,65.0,True,
2025-10-24,TSLA251024C00447500,447.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-10-31,TSLA251031C00447500,447.5,REAL,3:45 PM,6.19,3:55 PM,8.9,1,619.0,271.0,True,
2025-11-07,TSLA251107C00435000,435.0,REAL,3:45 PM,0.18,3:55 PM,0.02,6,108.0,-96.0,False,
2025-11-14,TSLA251114C00390000,390.0,REAL,3:45 PM,15.65,3:55 PM,14.92,1,1565.0,-73.0,False,
2025-11-21,TSLA251121C00400000,400.0,REAL,3:45 PM,0.06,3:55 PM,0.01,17,102.0,-85.0,False,
2025-11-28,TSLA251128C00430000,430.0,REAL,3:45 PM,,3:55 PM,,,,,,no usable price in entry/exit window
2025-12-05,TSLA251205C00455000,455.0,REAL,3:45 PM,0.4,3:55 PM,0.31,3,120.0,-27.0,False,
2025-12-12,TSLA251212C00452500,452.5,REAL,3:45 PM,4.2,3:55 PM,5.7,1,420.0,150.0,True,
2025-12-19,TSLA251219C00487500,487.5,REAL,3:45 PM,0.02,3:55 PM,0.02,50,100.0,0.0,False,
2025-12-26,TSLA251226C00487500,487.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2026-01-02,TSLA260102C00457500,457.5,REAL,3:45 PM,,3:55 PM,,,,,,no usable price in entry/exit window
2026-01-09,TSLA260109C00432500,432.5,REAL,3:45 PM,13.0,3:55 PM,12.48,1,1300.0,-52.0,False,
2026-01-16,TSLA260116C00442500,442.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2026-01-23,TSLA260123C00447500,447.5,REAL,3:45 PM,0.51,3:55 PM,1.08,2,102.0,114.0,True,
2026-01-30,TSLA260130C00430000,430.0,REAL,3:45 PM,3.13,3:55 PM,2.09,1,313.0,-104.0,False,
2026-02-06,TSLA260206C00400000,400.0,REAL,3:45 PM,14.35,3:55 PM,10.9,1,1435.0,-345.0,False,
2026-02-13,TSLA260213C00415000,415.0,REAL,3:45 PM,2.41,3:55 PM,1.7,1,241.0,-71.0,False,
2026-02-20,TSLA260220C00407500,407.5,REAL,3:45 PM,3.78,3:55 PM,4.16,1,378.0,38.0,True,
2026-02-27,TSLA260227C00402500,402.5,REAL,3:45 PM,0.04,3:55 PM,0.6,25,100.0,1400.0,True,
2026-03-06,TSLA260306C00397500,397.5,REAL,3:45 PM,1.02,3:55 PM,0.3,1,102.0,-72.0,False,
2026-03-13,TSLA260313C00397500,397.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2026-03-20,TSLA260320C00377500,377.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2026-03-27,TSLA260327C00370000,370.0,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2026-04-03,TSLA260402C00365000,365.0,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,Fri closed → Thu expiry
2026-04-10,TSLA260410C00347500,347.5,REAL,3:45 PM,0.6,3:55 PM,0.86,2,120.0,52.0,True,
2026-04-17,TSLA260417C00395000,395.0,REAL,3:45 PM,5.7,3:55 PM,5.68,1,570.0,-2.0,False,
2026-04-24,TSLA260424C00375000,375.0,REAL,3:45 PM,2.01,3:55 PM,2.19,1,201.0,18.0,True,
2026-05-01,TSLA260501C00385000,385.0,REAL,3:45 PM,7.1,3:55 PM,5.56,1,710.0,-154.0,False,
2026-05-08,TSLA260508C00420000,420.0,REAL,3:45 PM,4.8,3:55 PM,6.54,1,480.0,174.0,True,
2026-05-15,TSLA260515C00432500,432.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2026-05-22,TSLA260522C00425000,425.0,REAL,3:45 PM,0.78,3:55 PM,0.97,2,156.0,38.0,True,
2026-05-29,TSLA260529C00437500,437.5,REAL,3:45 PM,0.19,3:55 PM,0.09,6,114.0,-60.0,False,
2026-06-05,TSLA260605C00422500,422.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2026-06-12,TSLA260612C00400000,400.0,REAL,3:45 PM,3.58,3:55 PM,5.37,1,358.0,179.0,True,
2026-06-19,TSLA260618C00397500,397.5,REAL,3:45 PM,1.54,3:55 PM,3.53,1,154.0,199.0,True,Fri closed → Thu expiry
2026-06-26,TSLA260626C00370000,370.0,REAL,3:45 PM,9.35,3:55 PM,10.75,1,935.0,140.0,True,
2026-07-03,TSLA260702C00427500,427.5,REAL,3:45 PM,,3:55 PM,,,,,,no usable price in entry/exit window
2026-07-10,TSLA260710C00410000,410.0,REAL,3:45 PM,0.64,3:55 PM,0.03,2,128.0,-122.0,False,
2026-07-17,TSLA260717C00382500,382.5,REAL,3:45 PM,0.36,3:55 PM,0.2,3,108.0,-48.0,False,
