day,date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Monday,2026-06-15,C,AAPL260615C00292500,292.5,REAL,3:11–3:16 PM,,3:44–3:49 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-06-22,C,AAPL260622C00300000,300.0,REAL,3:11–3:16 PM,0.082,3:44–3:49 PM,0.01,-0.072,13,106.6,-93.6,False,0DTE (same-day expiry)
Monday,2026-06-29,C,AAPL260629C00287500,287.5,REAL,3:11–3:16 PM,0.01,3:44–3:49 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
Monday,2026-07-06,C,AAPL260706C00307500,307.5,REAL,3:11–3:16 PM,5.7667,3:44–3:49 PM,6.1033,0.3367,1,576.67,33.67,True,0DTE (same-day expiry)
Monday,2026-07-13,C,AAPL260713C00320000,320.0,REAL,3:11–3:16 PM,0.012,3:44–3:49 PM,0.01,-0.002,84,100.8,-16.8,False,0DTE (same-day expiry)
Monday,2026-02-16,P,,0.0,MISS,11:42–11:50 AM,,1:11–1:18 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,P,AAPL260223P00265000,265.0,REAL,11:42–11:50 AM,0.3537,1:11–1:18 PM,0.0686,-0.2852,3,106.12,-85.55,False,0DTE (same-day expiry)
Monday,2026-03-02,P,AAPL260302P00260000,260.0,REAL,11:42–11:50 AM,0.0525,1:11–1:18 PM,0.0233,-0.0292,20,105.0,-58.33,False,0DTE (same-day expiry)
Monday,2026-03-09,P,AAPL260309P00257500,257.5,REAL,11:42–11:50 AM,0.855,1:11–1:18 PM,0.8986,0.0436,2,171.0,8.71,True,0DTE (same-day expiry)
Monday,2026-03-16,P,AAPL260316P00250000,250.0,REAL,11:42–11:50 AM,0.1143,1:11–1:18 PM,0.0533,-0.061,9,102.86,-54.86,False,0DTE (same-day expiry)
Monday,2026-03-23,P,AAPL260323P00252500,252.5,REAL,11:42–11:50 AM,0.8125,1:11–1:18 PM,1.92,1.1075,2,162.5,221.5,True,0DTE (same-day expiry)
Monday,2026-03-30,P,AAPL260330P00250000,250.0,REAL,11:42–11:50 AM,3.27,1:11–1:18 PM,3.385,0.115,1,327.0,11.5,True,0DTE (same-day expiry)
Monday,2026-04-06,P,AAPL260406P00257500,257.5,REAL,11:42–11:50 AM,0.1738,1:11–1:18 PM,0.2929,0.1191,6,104.25,71.46,True,0DTE (same-day expiry)
Monday,2026-04-13,P,AAPL260413P00260000,260.0,REAL,11:42–11:50 AM,2.8271,1:11–1:18 PM,2.16,-0.6671,1,282.71,-66.71,False,0DTE (same-day expiry)
Monday,2026-04-20,P,AAPL260420P00270000,270.0,REAL,11:42–11:50 AM,0.13,1:11–1:18 PM,0.0386,-0.0914,8,104.0,-73.14,False,0DTE (same-day expiry)
Monday,2026-04-27,P,AAPL260427P00267500,267.5,REAL,11:42–11:50 AM,0.7763,1:11–1:18 PM,1.2414,0.4652,2,155.25,93.04,True,0DTE (same-day expiry)
Monday,2026-05-04,P,AAPL260504P00280000,280.0,REAL,11:42–11:50 AM,3.0537,1:11–1:18 PM,3.2,0.1463,1,305.37,14.63,True,0DTE (same-day expiry)
Monday,2026-05-11,P,AAPL260511P00292500,292.5,REAL,11:42–11:50 AM,0.3812,1:11–1:18 PM,1.2557,0.8745,3,114.37,262.34,True,0DTE (same-day expiry)
Monday,2026-05-18,P,AAPL260518P00300000,300.0,REAL,11:42–11:50 AM,4.255,1:11–1:18 PM,4.275,0.02,1,425.5,2.0,True,0DTE (same-day expiry)
Monday,2026-05-25,P,,0.0,MISS,11:42–11:50 AM,,1:11–1:18 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-06-01,P,AAPL260601P00310000,310.0,REAL,11:42–11:50 AM,3.196,1:11–1:18 PM,4.5,1.304,1,319.6,130.4,True,0DTE (same-day expiry)
Monday,2026-06-08,P,AAPL260608P00312500,312.5,REAL,11:42–11:50 AM,1.8075,1:11–1:18 PM,2.4343,0.6268,1,180.75,62.68,True,0DTE (same-day expiry)
Monday,2026-06-15,P,AAPL260615P00292500,292.5,REAL,11:42–11:50 AM,0.0288,1:11–1:18 PM,0.0214,-0.0073,35,100.63,-25.63,False,0DTE (same-day expiry)
Monday,2026-06-22,P,AAPL260622P00300000,300.0,REAL,11:42–11:50 AM,0.4963,1:11–1:18 PM,0.7757,0.2795,3,148.88,83.84,True,0DTE (same-day expiry)
Monday,2026-06-29,P,AAPL260629P00287500,287.5,REAL,11:42–11:50 AM,4.775,1:11–1:18 PM,7.55,2.775,1,477.5,277.5,True,0DTE (same-day expiry)
Monday,2026-07-06,P,AAPL260706P00307500,307.5,REAL,11:42–11:50 AM,0.02,1:11–1:18 PM,0.01,-0.01,50,100.0,-50.0,False,0DTE (same-day expiry)
Monday,2026-07-13,P,AAPL260713P00320000,320.0,REAL,11:42–11:50 AM,3.4287,1:11–1:18 PM,3.97,0.5413,1,342.87,54.13,True,0DTE (same-day expiry)
Monday,2026-02-16,C,,0.0,MISS,2:53–2:58 PM,,3:45–3:50 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,C,AMZN260223C00207500,207.5,REAL,2:53–2:58 PM,0.015,3:45–3:50 PM,0.01,-0.005,67,100.5,-33.5,False,0DTE (same-day expiry)
Monday,2026-03-02,C,AMZN260302C00205000,205.0,REAL,2:53–2:58 PM,3.45,3:45–3:50 PM,3.1967,-0.2533,1,345.0,-25.33,False,0DTE (same-day expiry)
Monday,2026-03-09,C,AMZN260309C00212500,212.5,REAL,2:53–2:58 PM,0.01,3:45–3:50 PM,0.91,0.9,101,101.0,9090.0,True,0DTE (same-day expiry)
Monday,2026-03-16,C,AMZN260316C00210000,210.0,REAL,2:53–2:58 PM,1.576,3:45–3:50 PM,2.042,0.466,1,157.6,46.6,True,0DTE (same-day expiry)
Monday,2026-03-23,C,AMZN260323C00210000,210.0,REAL,2:53–2:58 PM,1.2125,3:45–3:50 PM,1.218,0.0055,1,121.25,0.55,True,0DTE (same-day expiry)
Monday,2026-03-30,C,AMZN260330C00200000,200.0,REAL,2:53–2:58 PM,0.93,3:45–3:50 PM,0.61,-0.32,2,186.0,-64.0,False,0DTE (same-day expiry)
Monday,2026-04-06,C,AMZN260406C00210000,210.0,REAL,2:53–2:58 PM,2.372,3:45–3:50 PM,2.432,0.06,1,237.2,6.0,True,0DTE (same-day expiry)
Monday,2026-04-13,C,AMZN260413C00237500,237.5,REAL,2:53–2:58 PM,1.136,3:45–3:50 PM,1.4625,0.3265,1,113.6,32.65,True,0DTE (same-day expiry)
Monday,2026-04-20,C,AMZN260420C00247500,247.5,REAL,2:53–2:58 PM,0.886,3:45–3:50 PM,0.922,0.036,2,177.2,7.2,True,0DTE (same-day expiry)
Monday,2026-04-27,C,AMZN260427C00262500,262.5,REAL,2:53–2:58 PM,0.138,3:45–3:50 PM,0.026,-0.112,8,110.4,-89.6,False,0DTE (same-day expiry)
Monday,2026-05-04,C,AMZN260504C00270000,270.0,REAL,2:53–2:58 PM,0.868,3:45–3:50 PM,1.244,0.376,2,173.6,75.2,True,0DTE (same-day expiry)
Monday,2026-05-11,C,AMZN260511C00270000,270.0,REAL,2:53–2:58 PM,0.39,3:45–3:50 PM,0.132,-0.258,3,117.0,-77.4,False,0DTE (same-day expiry)
Monday,2026-05-18,C,AMZN260518C00262500,262.5,REAL,2:53–2:58 PM,0.81,3:45–3:50 PM,2.1567,1.3467,2,162.0,269.33,True,0DTE (same-day expiry)
Monday,2026-05-25,C,,0.0,MISS,2:53–2:58 PM,,3:45–3:50 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-06-01,C,AMZN260601C00262500,262.5,REAL,2:53–2:58 PM,0.802,3:45–3:50 PM,0.146,-0.656,2,160.4,-131.2,False,0DTE (same-day expiry)
Monday,2026-06-08,C,AMZN260608C00247500,247.5,REAL,2:53–2:58 PM,0.0167,3:45–3:50 PM,0.02,0.0033,60,100.0,20.0,True,0DTE (same-day expiry)
Monday,2026-06-15,C,AMZN260615C00245000,245.0,REAL,2:53–2:58 PM,1.652,3:45–3:50 PM,1.304,-0.348,1,165.2,-34.8,False,0DTE (same-day expiry)
Monday,2026-06-22,C,AMZN260622C00240000,240.0,REAL,2:53–2:58 PM,,3:45–3:50 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-06-29,C,AMZN260629C00235000,235.0,REAL,2:53–2:58 PM,5.6567,3:45–3:50 PM,5.12,-0.5367,1,565.67,-53.67,False,0DTE (same-day expiry)
Monday,2026-07-06,C,AMZN260706C00245000,245.0,REAL,2:53–2:58 PM,0.782,3:45–3:50 PM,0.296,-0.486,2,156.4,-97.2,False,0DTE (same-day expiry)
Monday,2026-07-13,C,AMZN260713C00245000,245.0,REAL,2:53–2:58 PM,,3:45–3:50 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-02-16,P,,0.0,MISS,11:45–11:50 AM,,12:14–12:19 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,P,AMZN260223P00207500,207.5,REAL,11:45–11:50 AM,3.32,12:14–12:19 PM,3.8,0.48,1,332.0,48.0,True,0DTE (same-day expiry)
Monday,2026-03-02,P,AMZN260302P00205000,205.0,REAL,11:45–11:50 AM,0.076,12:14–12:19 PM,0.045,-0.031,14,106.4,-43.4,False,0DTE (same-day expiry)
Monday,2026-03-09,P,AMZN260309P00212500,212.5,REAL,11:45–11:50 AM,2.42,12:14–12:19 PM,2.5,0.08,1,242.0,8.0,True,0DTE (same-day expiry)
Monday,2026-03-16,P,AMZN260316P00210000,210.0,REAL,11:45–11:50 AM,1.024,12:14–12:19 PM,0.962,-0.062,1,102.4,-6.2,False,0DTE (same-day expiry)
Monday,2026-03-23,P,AMZN260323P00210000,210.0,REAL,11:45–11:50 AM,0.386,12:14–12:19 PM,0.424,0.038,3,115.8,11.4,True,0DTE (same-day expiry)
Monday,2026-03-30,P,AMZN260330P00200000,200.0,REAL,11:45–11:50 AM,0.084,12:14–12:19 PM,0.0867,0.0027,12,100.8,3.2,True,0DTE (same-day expiry)
Monday,2026-04-06,P,AMZN260406P00210000,210.0,REAL,11:45–11:50 AM,0.096,12:14–12:19 PM,0.076,-0.02,11,105.6,-22.0,False,0DTE (same-day expiry)
Monday,2026-04-13,P,AMZN260413P00237500,237.5,REAL,11:45–11:50 AM,0.434,12:14–12:19 PM,0.642,0.208,3,130.2,62.4,True,0DTE (same-day expiry)
Monday,2026-04-20,P,AMZN260420P00247500,247.5,REAL,11:45–11:50 AM,1.286,12:14–12:19 PM,1.048,-0.238,1,128.6,-23.8,False,0DTE (same-day expiry)
Monday,2026-04-27,P,AMZN260427P00262500,262.5,REAL,11:45–11:50 AM,1.6775,12:14–12:19 PM,0.936,-0.7415,1,167.75,-74.15,False,0DTE (same-day expiry)
Monday,2026-05-04,P,AMZN260504P00270000,270.0,REAL,11:45–11:50 AM,0.778,12:14–12:19 PM,0.848,0.07,2,155.6,14.0,True,0DTE (same-day expiry)
Monday,2026-05-11,P,AMZN260511P00270000,270.0,REAL,11:45–11:50 AM,0.115,12:14–12:19 PM,0.124,0.009,9,103.5,8.1,True,0DTE (same-day expiry)
Monday,2026-05-18,P,AMZN260518P00262500,262.5,REAL,11:45–11:50 AM,0.125,12:14–12:19 PM,0.088,-0.037,8,100.0,-29.6,False,0DTE (same-day expiry)
Monday,2026-05-25,P,,0.0,MISS,11:45–11:50 AM,,12:14–12:19 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-06-01,P,AMZN260601P00262500,262.5,REAL,11:45–11:50 AM,0.15,12:14–12:19 PM,1.198,1.048,7,105.0,733.6,True,0DTE (same-day expiry)
Monday,2026-06-08,P,AMZN260608P00247500,247.5,REAL,11:45–11:50 AM,1.258,12:14–12:19 PM,1.134,-0.124,1,125.8,-12.4,False,0DTE (same-day expiry)
Monday,2026-06-15,P,AMZN260615P00245000,245.0,REAL,11:45–11:50 AM,0.264,12:14–12:19 PM,0.342,0.078,4,105.6,31.2,True,0DTE (same-day expiry)
Monday,2026-06-22,P,AMZN260622P00240000,240.0,REAL,11:45–11:50 AM,5.4433,12:14–12:19 PM,7.09,1.6467,1,544.33,164.67,True,0DTE (same-day expiry)
Monday,2026-06-29,P,AMZN260629P00235000,235.0,REAL,11:45–11:50 AM,0.046,12:14–12:19 PM,0.068,0.022,22,101.2,48.4,True,0DTE (same-day expiry)
Monday,2026-07-06,P,AMZN260706P00245000,245.0,REAL,11:45–11:50 AM,0.624,12:14–12:19 PM,0.472,-0.152,2,124.8,-30.4,False,0DTE (same-day expiry)
Monday,2026-07-13,P,AMZN260713P00245000,245.0,REAL,11:45–11:50 AM,0.086,12:14–12:19 PM,0.08,-0.006,12,103.2,-7.2,False,0DTE (same-day expiry)
Monday,2026-02-16,C,,0.0,MISS,10:14–10:19 AM,,2:46–2:54 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,C,GOOGL260223C00317500,317.5,REAL,10:14–10:19 AM,,2:46–2:54 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-03-02,C,GOOGL260302C00302500,302.5,REAL,10:14–10:19 AM,3.292,2:46–2:54 PM,5.0,1.708,1,329.2,170.8,True,0DTE (same-day expiry)
Monday,2026-03-09,C,GOOGL260309C00295000,295.0,REAL,10:14–10:19 AM,2.592,2:46–2:54 PM,7.6575,5.0655,1,259.2,506.55,True,0DTE (same-day expiry)
Monday,2026-03-16,C,GOOGL260316C00305000,305.0,REAL,10:14–10:19 AM,1.906,2:46–2:54 PM,0.87,-1.036,1,190.6,-103.6,False,0DTE (same-day expiry)
Monday,2026-03-23,C,GOOGL260323C00305000,305.0,REAL,10:14–10:19 AM,1.104,2:46–2:54 PM,0.0633,-1.0407,1,110.4,-104.07,False,0DTE (same-day expiry)
Monday,2026-03-30,C,GOOGL260330C00275000,275.0,REAL,10:14–10:19 AM,0.712,2:46–2:54 PM,0.0475,-0.6645,2,142.4,-132.9,False,0DTE (same-day expiry)
Monday,2026-04-06,C,GOOGL260406C00295000,295.0,REAL,10:14–10:19 AM,3.0,2:46–2:54 PM,5.19,2.19,1,300.0,219.0,True,0DTE (same-day expiry)
Monday,2026-04-13,C,GOOGL260413C00317500,317.5,REAL,10:14–10:19 AM,1.7,2:46–2:54 PM,2.4225,0.7225,1,170.0,72.25,True,0DTE (same-day expiry)
Monday,2026-04-20,C,GOOGL260420C00337500,337.5,REAL,10:14–10:19 AM,2.27,2:46–2:54 PM,1.2667,-1.0033,1,227.0,-100.33,False,0DTE (same-day expiry)
Monday,2026-04-27,C,GOOGL260427C00345000,345.0,REAL,10:14–10:19 AM,,2:46–2:54 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-05-04,C,GOOGL260504C00385000,385.0,REAL,10:14–10:19 AM,0.828,2:46–2:54 PM,0.0825,-0.7455,2,165.6,-149.1,False,0DTE (same-day expiry)
Monday,2026-05-11,C,GOOGL260511C00392500,392.5,REAL,10:14–10:19 AM,2.9433,2:46–2:54 PM,0.3133,-2.63,1,294.33,-263.0,False,0DTE (same-day expiry)
Monday,2026-05-18,C,GOOGL260518C00395000,395.0,REAL,10:14–10:19 AM,,2:46–2:54 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-05-25,C,,0.0,MISS,10:14–10:19 AM,,2:46–2:54 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-06-01,C,GOOGL260601C00377500,377.5,REAL,10:14–10:19 AM,0.624,2:46–2:54 PM,0.7312,0.1072,2,124.8,21.45,True,0DTE (same-day expiry)
Monday,2026-06-08,C,GOOGL260608C00365000,365.0,REAL,10:14–10:19 AM,0.746,2:46–2:54 PM,0.4988,-0.2472,2,149.2,-49.45,False,0DTE (same-day expiry)
Monday,2026-06-15,C,GOOGL260615C00370000,370.0,REAL,10:14–10:19 AM,1.096,2:46–2:54 PM,1.3413,0.2453,1,109.6,24.53,True,0DTE (same-day expiry)
Monday,2026-06-22,C,GOOGL260622C00357500,357.5,REAL,10:14–10:19 AM,,2:46–2:54 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-06-29,C,GOOGL260629C00345000,345.0,REAL,10:14–10:19 AM,4.198,2:46–2:54 PM,8.2,4.002,1,419.8,400.2,True,0DTE (same-day expiry)
Monday,2026-07-06,C,GOOGL260706C00362500,362.5,REAL,10:14–10:19 AM,0.436,2:46–2:54 PM,3.37,2.934,3,130.8,880.2,True,0DTE (same-day expiry)
Monday,2026-07-13,C,GOOGL260713C00355000,355.0,REAL,10:14–10:19 AM,1.4475,2:46–2:54 PM,0.7157,-0.7318,1,144.75,-73.18,False,0DTE (same-day expiry)
Monday,2026-02-16,P,,0.0,MISS,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,P,GOOGL260223P00317500,317.5,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-03-02,P,GOOGL260302P00302500,302.5,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-03-09,P,GOOGL260309P00295000,295.0,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-03-16,P,GOOGL260316P00305000,305.0,REAL,1:50–1:55 PM,0.785,3:52–3:57 PM,0.07,-0.715,2,157.0,-143.0,False,0DTE (same-day expiry)
Monday,2026-03-23,P,GOOGL260323P00305000,305.0,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-03-30,P,GOOGL260330P00275000,275.0,REAL,1:50–1:55 PM,1.3033,3:52–3:57 PM,1.5767,0.2733,1,130.33,27.33,True,0DTE (same-day expiry)
Monday,2026-04-06,P,GOOGL260406P00295000,295.0,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-04-13,P,GOOGL260413P00317500,317.5,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-04-20,P,GOOGL260420P00337500,337.5,REAL,1:50–1:55 PM,0.19,3:52–3:57 PM,0.378,0.188,6,114.0,112.8,True,0DTE (same-day expiry)
Monday,2026-04-27,P,GOOGL260427P00345000,345.0,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-05-04,P,GOOGL260504P00385000,385.0,REAL,1:50–1:55 PM,0.9367,3:52–3:57 PM,1.875,0.9383,2,187.33,187.67,True,0DTE (same-day expiry)
Monday,2026-05-11,P,GOOGL260511P00392500,392.5,REAL,1:50–1:55 PM,0.535,3:52–3:57 PM,3.3125,2.7775,2,107.0,555.5,True,0DTE (same-day expiry)
Monday,2026-05-18,P,GOOGL260518P00395000,395.0,REAL,1:50–1:55 PM,0.0333,3:52–3:57 PM,0.035,0.0017,30,100.0,5.0,True,0DTE (same-day expiry)
Monday,2026-05-25,P,,0.0,MISS,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-06-01,P,GOOGL260601P00377500,377.5,REAL,1:50–1:55 PM,0.735,3:52–3:57 PM,0.532,-0.203,2,147.0,-40.6,False,0DTE (same-day expiry)
Monday,2026-06-08,P,GOOGL260608P00365000,365.0,REAL,1:50–1:55 PM,1.458,3:52–3:57 PM,1.74,0.282,1,145.8,28.2,True,0DTE (same-day expiry)
Monday,2026-06-15,P,GOOGL260615P00370000,370.0,REAL,1:50–1:55 PM,0.2275,3:52–3:57 PM,1.926,1.6985,5,113.75,849.25,True,0DTE (same-day expiry)
Monday,2026-06-22,P,GOOGL260622P00357500,357.5,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-06-29,P,GOOGL260629P00345000,345.0,REAL,1:50–1:55 PM,0.02,3:52–3:57 PM,0.03,0.01,51,102.0,51.0,True,0DTE (same-day expiry)
Monday,2026-07-06,P,GOOGL260706P00362500,362.5,REAL,1:50–1:55 PM,,3:52–3:57 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-07-13,P,GOOGL260713P00355000,355.0,REAL,1:50–1:55 PM,0.488,3:52–3:57 PM,2.744,2.256,3,146.4,676.8,True,0DTE (same-day expiry)
Monday,2026-02-16,C,,0.0,MISS,3:10–3:17 PM,,3:53–4:00 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,C,MSFT260223C00392500,392.5,REAL,3:10–3:17 PM,0.01,3:53–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
Monday,2026-03-02,C,MSFT260302C00392500,392.5,REAL,3:10–3:17 PM,5.27,3:53–4:00 PM,5.97,0.7,1,527.0,70.0,True,0DTE (same-day expiry)
Monday,2026-03-09,C,MSFT260309C00407500,407.5,REAL,3:10–3:17 PM,0.0383,3:53–4:00 PM,1.985,1.9467,27,103.5,5256.0,True,0DTE (same-day expiry)
Monday,2026-03-16,C,MSFT260316C00397500,397.5,REAL,3:10–3:17 PM,2.3629,3:53–4:00 PM,2.0833,-0.2795,1,236.29,-27.95,False,0DTE (same-day expiry)
Monday,2026-03-23,C,MSFT260323C00385000,385.0,REAL,3:10–3:17 PM,0.0357,3:53–4:00 PM,0.0367,0.001,29,103.57,2.76,True,0DTE (same-day expiry)
Monday,2026-03-30,C,MSFT260330C00360000,360.0,REAL,3:10–3:17 PM,0.0314,3:53–4:00 PM,0.1157,0.0843,32,100.57,269.71,True,0DTE (same-day expiry)
Monday,2026-04-06,C,MSFT260406C00372500,372.5,REAL,3:10–3:17 PM,0.4514,3:53–4:00 PM,0.2629,-0.1886,3,135.43,-56.57,False,0DTE (same-day expiry)
Monday,2026-04-13,C,MSFT260413C00372500,372.5,REAL,3:10–3:17 PM,9.49,3:53–4:00 PM,11.51,2.02,1,949.0,202.0,True,0DTE (same-day expiry)
Monday,2026-04-20,C,MSFT260420C00422500,422.5,REAL,3:10–3:17 PM,0.01,3:53–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
Monday,2026-04-27,C,MSFT260427C00422500,422.5,REAL,3:10–3:17 PM,2.1714,3:53–4:00 PM,2.48,0.3086,1,217.14,30.86,True,0DTE (same-day expiry)
Monday,2026-05-04,C,MSFT260504C00412500,412.5,REAL,3:10–3:17 PM,0.7414,3:53–4:00 PM,0.7857,0.0443,2,148.29,8.86,True,0DTE (same-day expiry)
Monday,2026-05-11,C,MSFT260511C00407500,407.5,REAL,3:10–3:17 PM,3.086,3:53–4:00 PM,5.0,1.914,1,308.6,191.4,True,0DTE (same-day expiry)
Monday,2026-05-18,C,MSFT260518C00417500,417.5,REAL,3:10–3:17 PM,5.1033,3:53–4:00 PM,5.98,0.8767,1,510.33,87.67,True,0DTE (same-day expiry)
Monday,2026-05-25,C,,0.0,MISS,3:10–3:17 PM,,3:53–4:00 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-06-01,C,MSFT260601C00465000,465.0,REAL,3:10–3:17 PM,0.1543,3:53–4:00 PM,0.01,-0.1443,7,108.0,-101.0,False,0DTE (same-day expiry)
Monday,2026-06-08,C,MSFT260608C00415000,415.0,REAL,3:10–3:17 PM,0.0643,3:53–4:00 PM,0.01,-0.0543,16,102.86,-86.86,False,0DTE (same-day expiry)
Monday,2026-06-15,C,MSFT260615C00395000,395.0,REAL,3:10–3:17 PM,3.99,3:53–4:00 PM,4.395,0.405,1,399.0,40.5,True,0DTE (same-day expiry)
Monday,2026-06-22,C,MSFT260622C00377500,377.5,REAL,3:10–3:17 PM,,3:53–4:00 PM,,,,,,,no usable price in entry/exit frame
Monday,2026-06-29,C,MSFT260629C00377500,377.5,REAL,3:10–3:17 PM,0.01,3:53–4:00 PM,0.03,0.02,101,101.0,202.0,True,0DTE (same-day expiry)
Monday,2026-07-06,C,MSFT260706C00387500,387.5,REAL,3:10–3:17 PM,0.1729,3:53–4:00 PM,0.0514,-0.1214,6,103.71,-72.86,False,0DTE (same-day expiry)
Monday,2026-07-13,C,MSFT260713C00390000,390.0,REAL,3:10–3:17 PM,2.3729,3:53–4:00 PM,0.9429,-1.43,1,237.29,-143.0,False,0DTE (same-day expiry)
Monday,2026-02-16,P,,0.0,MISS,2:36–2:42 PM,,3:11–3:16 PM,,,,,,,missing data (entry-day market holiday)
Monday,2026-02-23,P,MSFT260223P00392500,392.5,REAL,2:36–2:42 PM,6.6,3:11–3:16 PM,8.82,2.22,1,660.0,222.0,True,0DTE (same-day expiry)
